Country,Year,life,population,child_mortality,gdp,region
Afghanistan,1964,33.639,10474903,339.7,1182,South Asia
Afghanistan,1965,34.152,10697983,334.1,1182,South Asia
Afghanistan,1966,34.662,10927724,328.7,1168,South Asia
Afghanistan,1967,35.17,11163656,323.3,1173,South Asia
Afghanistan,1968,35.674,11411022,318.1,1187,South Asia
Afghanistan,1969,36.172,11676990,313,1178,South Asia
Afghanistan,1970,36.663,11964906,307.8,1174,South Asia
Afghanistan,1971,37.143,12273101,302.1,1092,South Asia
Afghanistan,1972,37.614,12593688,296.4,1046,South Asia
Afghanistan,1973,38.075,12915499,290.8,1137,South Asia
Afghanistan,1974,38.529,13223928,284.9,1170,South Asia
Afghanistan,1975,38.977,13505544,279.4,1201,South Asia
Afghanistan,1976,39.417,13766792,273.6,1231,South Asia
Afghanistan,1977,39.855,14003408,267.8,1119,South Asia
Afghanistan,1978,40.298,14179656,261.6,1179,South Asia
Afghanistan,1979,40.756,14249493,255.5,1155,South Asia
Afghanistan,1980,41.242,14185729,249.1,1158,South Asia
Afghanistan,1981,41.77,13984092,242.7,1284,South Asia
Afghanistan,1982,42.347,13672870,236.2,1402,South Asia
Afghanistan,1983,42.977,13300056,229.7,1454,South Asia
Afghanistan,1984,43.661,12931791,222.9,1429,South Asia
Afghanistan,1985,44.4,12625292,216,1384,South Asia
Afghanistan,1986,45.192,12372113,209.2,1486,South Asia
Afghanistan,1987,46.024,12183387,202.1,1230,South Asia
Afghanistan,1988,46.88,12156685,195,1113,South Asia
Afghanistan,1989,47.744,12414686,187.8,1087,South Asia
Afghanistan,1990,48.601,13032161,181,1028,South Asia
Afghanistan,1991,49.439,14069854,174.2,1022,South Asia
Afghanistan,1992,50.247,15472076,167.8,941,South Asia
Afghanistan,1993,51.017,17053213,162,810,South Asia
Afghanistan,1994,51.738,18553819,156.8,725,South Asia
Afghanistan,1995,52.4,19789880,152.3,872,South Asia
Afghanistan,1996,52.995,20684982,148.6,895,South Asia
Afghanistan,1997,53.527,21299350,145.5,921,South Asia
Afghanistan,1998,54.009,21752257,142.6,947,South Asia
Afghanistan,1999,54.449,22227543,139.9,972,South Asia
Afghanistan,2000,54.863,22856302,137,962,South Asia
Afghanistan,2001,55.271,23677385,133.8,862,South Asia
Afghanistan,2002,55.687,24639841,130.3,1053,South Asia
Afghanistan,2003,56.122,25678639,126.8,1097,South Asia
Afghanistan,2004,56.583,26693486,123.2,1067,South Asia
Afghanistan,2005,57.071,27614718,119.6,1146,South Asia
Afghanistan,2006,57.582,28420974,116.3,1173,South Asia
Afghanistan,2007,58.102,29145841,113.2,1298,South Asia
Afghanistan,2008,58.618,29839994,110.4,1311,South Asia
Afghanistan,2009,59.124,30577756,107.6,1548,South Asia
Afghanistan,2010,59.612,31411743,105,1637,South Asia
Afghanistan,2011,60.079,32358260,102.3,1695,South Asia
Afghanistan,2012,60.524,33397058,99.5,1893,South Asia
Afghanistan,2013,60.947,34499915,96.7,1884,South Asia
Albania,1964,65.475,1817098,122.67,3023,Europe & Central Asia
Albania,1965,65.863,1869942,120.09,3129,Europe & Central Asia
Albania,1966,66.122,1922993,117.56,3242,Europe & Central Asia
Albania,1967,66.316,1976140,115.09,3359,Europe & Central Asia
Albania,1968,66.5,2029314,112.67,3475,Europe & Central Asia
Albania,1969,66.702,2082474,110.3,3587,Europe & Central Asia
Albania,1970,66.948,2135599,107.98,3712,Europe & Central Asia
Albania,1971,67.251,2188650,105.71,3849,Europe & Central Asia
Albania,1972,67.595,2241623,103.49,3988,Europe & Central Asia
Albania,1973,67.966,2294578,101.31,4174,Europe & Central Asia
Albania,1974,68.356,2347607,99.18,4177,Europe & Central Asia
Albania,1975,68.748,2400801,97.1,4178,Europe & Central Asia
Albania,1976,69.121,2454255,95.06,4182,Europe & Central Asia
Albania,1977,69.459,2508026,93.06,4188,Europe & Central Asia
Albania,1978,69.753,2562121,91.1,4194,Europe & Central Asia
Albania,1979,70.001,2616530,84.7,4201,Europe & Central Asia
Albania,1980,70.218,2671300,78.6,4218,Europe & Central Asia
Albania,1981,70.426,2725029,73,4227,Europe & Central Asia
Albania,1982,70.646,2777592,67.8,4237,Europe & Central Asia
Albania,1983,70.886,2831682,62.8,4248,Europe & Central Asia
Albania,1984,71.144,2891004,58.3,4259,Europe & Central Asia
Albania,1985,71.398,2957390,54.3,4267,Europe & Central Asia
Albania,1986,71.615,3033393,50.7,4281,Europe & Central Asia
Albania,1987,71.77,3116009,47.6,4294,Europe & Central Asia
Albania,1988,71.853,3194854,44.9,4307,Europe & Central Asia
Albania,1989,71.87,3255859,42.5,4325,Europe & Central Asia
Albania,1990,71.842,3289483,40.6,4350,Europe & Central Asia
Albania,1991,71.799,3291695,38.8,3081,Europe & Central Asia
Albania,1992,71.779,3266983,37.3,2877,Europe & Central Asia
Albania,1993,71.813,3224901,36,3172,Europe & Central Asia
Albania,1994,71.92,3179442,34.6,3457,Europe & Central Asia
Albania,1995,72.117,3141102,33.2,3941,Europe & Central Asia
Albania,1996,72.415,3112597,31.8,4326,Europe & Central Asia
Albania,1997,72.796,3091902,30.3,3909,Europe & Central Asia
Albania,1998,73.235,3079037,28.9,4434,Europe & Central Asia
